RTE_NBR,BIN_START,BIN_END,AADT_WT,URBAN,CRASH_COUNT,CRASHRATE
3.0,39.0,42.0,54307.25333333333,1,11.0,18.497827608399188
3.0,42.0,45.0,47020.58666666667,1,7.0,13.595521700410387
3.0,45.0,48.0,43486.29333333333,1,11.0,23.100755043558454
3.0,48.0,51.0,35750.07,1,10.0,25.545181006146848
3.0,51.0,54.0,28864.806666666653,0,15.0,47.45789672239727
3.0,54.0,57.0,17321.683333333334,0,23.0,121.26169152177664
4.0,0.0,3.0,2036.7,0,1.0,44.839299314205334
4.0,3.0,6.0,2589.35,0,6.0,211.61496339986954
4.0,6.0,9.0,2712.943333333333,0,7.0,235.63684450689868
4.0,9.0,12.0,2659.0,0,6.0,206.07190879257314
4.0,12.0,15.0,2165.3766666666666,0,6.0,253.04844829742578
4.0,15.0,18.0,1664.2133333333331,0,4.0,219.50118794042916
4.0,18.0,21.0,1579.76,0,6.0,346.8534495616119
4.0,21.0,24.0,1596.0,0,2.0,114.4413545278722
4.0,24.0,27.0,1534.95,0,3.0,178.48959427976547
4.0,27.0,30.0,1605.9866666666667,0,4.0,227.4594249348073
4.0,30.0,33.0,1834.0,0,1.0,49.795093191516905
4.0,33.0,36.0,2635.6299999999987,0,7.0,242.5489945070797
4.0,36.0,39.0,3740.7599999999998,0,8.0,195.3061964162192
4.0,39.0,42.0,3608.0,0,3.0,75.93475685690855
4.0,42.0,45.0,3561.4199999999996,0,3.0,76.92791154644104
4.0,45.0,48.0,3302.633333333333,0,6.0,165.91160754936527
4.0,48.0,51.0,4369.0,0,17.0,355.3470852655331
4.0,51.0,54.0,4369.0,0,2.0,41.805539443003894
4.0,54.0,57.0,6743.566666666669,1,12.0,162.50902009701647
4.0,57.0,60.0,24072.68333333333,1,103.0,390.7496544450007
5.0,0.0,3.0,112548.77999999998,1,230.0,186.62633402197397
5.0,3.0,6.0,82740.37333333334,1,82.0,90.50701819674947
5.0,6.0,9.0,71603.83666666666,1,79.0,100.75733658982409
5.0,9.0,12.0,77131.86,1,28.0,33.15202855954435
5.0,12.0,15.0,72808.1,0,22.0,27.59490249149922
5.0,15.0,18.0,62453.840000000004,0,24.0,35.09441247996613
5.0,18.0,21.0,63822.0,0,32.0,45.78945237102793
