CASENO,VEHNO,DRV_AGE,CONTRIB1,VEHTYPE
2002039569,1,19.0,23.0,1
2002039570,1,67.0,5.0,1
2002039571,1,20.0,5.0,1
2002039572,1,26.0,4.0,2
2002039573,1,24.0,18.0,1
2002039574,1,22.0,4.0,1
2002039575,1,42.0,4.0,2
2002039576,1,31.0,14.0,1
2002039577,1,23.0,4.0,1
2002039578,1,39.0,18.0,2
2002039579,1,19.0,4.0,1
2002039580,1,46.0,7.0,2
2002039581,1,28.0,4.0,1
2002039582,1,19.0,7.0,2
2002039583,1,29.0,5.0,1
2002039584,1,53.0,5.0,1
2002039585,1,21.0,5.0,1
2002039586,1,81.0,14.0,1
2002039587,1,22.0,4.0,1
2002039588,1,21.0,14.0,1
2002039589,1,33.0,4.0,2
2002039590,1,19.0,4.0,1
2002039591,1,44.0,5.0,1
2002039592,1,18.0,4.0,1
2002039593,1,78.0,7.0,3
2002039594,1,,4.0,1
2002039595,1,26.0,4.0,2
2002039596,1,21.0,7.0,1
2002039597,1,,4.0,1
2002039598,1,41.0,4.0,1
2002039599,1,28.0,7.0,1
2002039600,1,26.0,4.0,1
2002039601,1,18.0,4.0,1
2002039602,1,30.0,4.0,1
2002039603,1,44.0,4.0,2
2002039604,1,53.0,14.0,2
2002039605,1,23.0,4.0,1
2002039606,1,35.0,4.0,1
2002039607,1,33.0,4.0,1
2002039608,1,46.0,4.0,2
2002039609,1,,5.0,2
2002039610,1,41.0,7.0,2
2002039611,1,52.0,16.0,1
2002039612,1,66.0,4.0,14
2002039613,1,20.0,4.0,2
2002039614,1,22.0,4.0,2
2002039615,1,22.0,4.0,2
2002039616,1,32.0,4.0,2
2002039617,1,18.0,4.0,2
2002039618,1,35.0,4.0,1
2002039619,1,17.0,4.0,2
2002039620,1,20.0,4.0,2
2002039621,1,34.0,4.0,2
2002039622,1,25.0,4.0,2
2002039623,1,44.0,7.0,2
2002039624,1,20.0,4.0,1
2002039625,1,22.0,4.0,2
2002039626,1,29.0,4.0,2
2002039627,1,17.0,7.0,1
2002039628,1,18.0,7.0,1
2002039629,1,21.0,5.0,1
2002039630,1,19.0,4.0,1
2002039631,1,20.0,4.0,2
2002039632,1,46.0,4.0,1
2002039633,1,37.0,1.0,2
2002039634,1,25.0,16.0,1
2002039635,1,22.0,4.0,1
2002039636,1,21.0,4.0,2
2002039637,1,27.0,2.0,1
2002039638,1,24.0,4.0,1
2002039639,1,54.0,7.0,1
2002039640,1,48.0,18.0,1
2002039641,1,57.0,4.0,1
2002039642,1,17.0,4.0,1
2002039643,1,38.0,5.0,6
2002039644,1,23.0,16.0,2
2002039645,1,20.0,7.0,1
2002039646,1,55.0,4.0,1
2002039647,1,22.0,17.0,1
2002039648,1,16.0,7.0,1
2002039649,1,34.0,18.0,2
2002039650,1,38.0,1.0,2
2002039651,1,58.0,5.0,2
2002039652,1,41.0,18.0,1
2002039653,1,17.0,5.0,1
2002039654,1,76.0,5.0,1
2002039655,1,18.0,1.0,2
2002039656,1,19.0,4.0,1
2002039657,1,59.0,4.0,2
2002039658,1,24.0,7.0,1
2002039659,1,33.0,1.0,1
2002039660,1,34.0,4.0,2
2002039661,1,19.0,4.0,2
2002039662,1,30.0,1.0,2
2002039663,1,43.0,4.0,2
2002039664,1,23.0,4.0,1
2002039665,1,44.0,4.0,2
2002039666,1,47.0,10.0,2
2002039667,1,31.0,4.0,2
2002039668,1,31.0,5.0,1
2002039669,1,18.0,4.0,2
2002039670,1,30.0,4.0,2
2002039671,1,48.0,1.0,2
2002039672,1,74.0,18.0,1
2002039673,1,27.0,4.0,2
2002039674,1,22.0,11.0,1
2002039675,1,27.0,4.0,2
2002039676,1,35.0,4.0,2
2002039677,1,20.0,7.0,1
2002039678,1,45.0,4.0,2
2002039679,1,34.0,5.0,2
2002039680,1,43.0,5.0,1
2002039681,1,37.0,18.0,1
2002039682,1,23.0,4.0,3
2002039683,1,40.0,4.0,3
2002039684,1,58.0,4.0,1
2002039685,1,19.0,4.0,1
2002039686,1,32.0,7.0,1
2002039687,1,35.0,7.0,2
2002039688,1,17.0,4.0,2
2002039689,1,17.0,4.0,2
2002039690,1,39.0,18.0,1
2002039691,1,48.0,1.0,2
2002039692,1,37.0,8.0,1
2002039693,1,37.0,4.0,2
2002039694,1,20.0,1.0,1
2002039695,1,33.0,5.0,1
2002039696,1,28.0,4.0,1
2002039697,1,16.0,5.0,1
2002039698,1,20.0,1.0,1
2002039699,1,54.0,4.0,1
2002039700,1,33.0,4.0,1
2002039701,1,21.0,5.0,1
2002039702,1,28.0,4.0,2
2002039703,1,23.0,7.0,1
2002039704,1,30.0,4.0,1
2002039705,1,27.0,7.0,1
2002039706,1,50.0,4.0,1
2002039707,1,16.0,7.0,1
2002039708,1,45.0,23.0,2
2002039709,1,24.0,23.0,2
2002039710,1,58.0,1.0,2
2002039711,1,17.0,4.0,1
2002039712,1,21.0,1.0,1
2002039713,1,21.0,4.0,2
2002039714,1,26.0,5.0,1
2002039715,1,39.0,7.0,1
2002039716,1,64.0,18.0,2
2002039717,1,45.0,18.0,2
2002039718,1,59.0,4.0,2
2002039719,1,55.0,4.0,1
2002039720,1,51.0,7.0,1
2002039721,1,33.0,23.0,1
2002039722,1,56.0,6.0,1
2002039723,1,51.0,23.0,2
2002039724,1,,4.0,1
2002039725,1,19.0,7.0,1
2002039726,1,24.0,4.0,1
2002039727,1,89.0,22.0,1
2002039728,1,47.0,18.0,3
2002039729,1,63.0,5.0,1
2002039730,1,,15.0,2
2002039731,1,19.0,4.0,2
2002039732,1,21.0,7.0,1
2002039733,1,16.0,4.0,2
2002039734,1,20.0,10.0,1
2002039735,1,39.0,4.0,2
2002039736,1,49.0,4.0,1
2002039737,1,53.0,11.0,2
2002039738,1,30.0,7.0,3
2002039739,1,85.0,5.0,1
2002039740,1,55.0,18.0,2
2002039741,1,59.0,14.0,2
2002039742,1,56.0,18.0,2
2002039743,1,40.0,5.0,2
2002039744,1,24.0,4.0,2
2002039745,1,61.0,4.0,1
2002039746,1,22.0,4.0,1
2002039747,1,41.0,4.0,2
2002039748,1,19.0,4.0,2
2002039749,1,24.0,14.0,2
